"{'nol': 4, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5537634491920471, 0.5430107712745667, 0.6451612710952759, 0.6666666865348816, 0.5913978219032288, 0.6129032373428345, 0.6505376100540161, 0.5698924660682678, 0.5537634491920471, 0.5967742204666138]","[0.23333333432674408, 0.7666666507720947, 0.23333333432674408, 0.7333333492279053, 0.30000001192092896, 0.30000001192092896, 0.800000011920929, 0.46666666865348816, 0.7333333492279053, 0.7666666507720947]"
"{'nol': 4, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4462365508079529, 0.5860214829444885, 0.6612903475761414, 0.7419354915618896, 0.7419354915618896, 0.7526881694793701, 0.7096773982048035, 0.8172042965888977, 0.8709677457809448, 0.9032257795333862]","[0.23333333432674408, 0.7666666507720947, 0.6666666865348816, 0.36666667461395264, 0.5666666626930237, 0.6666666865348816, 0.3333333432674408, 0.699999988079071, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 4, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.5053763389587402, 0.6290322542190552, 0.5430107712745667, 0.5161290168762207, 0.5268816947937012, 0.5322580933570862, 0.5, 0.5107526779174805, 0.5161290168762207]","[0.23333333432674408, 0.3333333432674408, 0.7666666507720947, 0.7666666507720947, 0.2666666805744171, 0.30000001192092896, 0.23333333432674408, 0.2666666805744171, 0.23333333432674408, 0.2666666805744171]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4728260934352875, 0.5, 0.5, 0.5, 0.5, 0.5, 0.46739131212234497, 0.4728260934352875, 0.46739131212234497, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.35483869910240173, 0.5161290168762207]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.47311827540397644, 0.4838709533214569, 0.4838709533214569, 0.49462366104125977, 0.49462366104125977, 0.5, 0.5, 0.5, 0.5]","[0.6774193644523621, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.42473119497299194, 0.4838709533214569, 0.5161290168762207, 0.5107526779174805, 0.5268816947937012, 0.5322580933570862, 0.5376344323158264, 0.5752688050270081, 0.5806451439857483, 0.5591397881507874]","[0.2666666805744171, 0.23333333432674408, 0.2666666805744171, 0.2666666805744171, 0.3333333432674408, 0.30000001192092896, 0.3333333432674408, 0.30000001192092896, 0.3333333432674408, 0.4000000059604645]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.47311827540397644, 0.49462366104125977, 0.49462366104125977, 0.49462366104125977, 0.49462366104125977, 0.5107526779174805, 0.5053763389587402, 0.4838709533214569, 0.5322580933570862, 0.49462366104125977]","[0.7333333492279053, 0.699999988079071, 0.6666666865348816, 0.7333333492279053, 0.699999988079071, 0.46666666865348816, 0.7333333492279053, 0.7333333492279053, 0.7666666507720947, 0.7333333492279053]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5376344323158264, 0.5376344323158264, 0.5430107712745667, 0.5967742204666138, 0.6451612710952759, 0.7096773982048035, 0.7043010592460632, 0.7688171863555908, 0.6075268983840942, 0.5752688050270081]","[0.7666666507720947, 0.30000001192092896, 0.36666667461395264, 0.6333333253860474, 0.800000011920929, 0.6000000238418579, 0.5666666626930237, 0.2666666805744171, 0.46666666865348816, 0.7666666507720947]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.510869562625885, 0.554347813129425, 0.6304348111152649, 0.657608687877655, 0.6902173757553101, 0.70652174949646, 0.7880434989929199, 0.85326087474823, 0.875, 0.89673912525177]","[0.774193525314331, 0.7096773982048035, 0.5806451439857483, 0.5483871102333069, 0.6774193644523621, 0.8064516186714172, 0.7419354915618896, 0.774193525314331, 0.8064516186714172, 0.7419354915618896]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.47311827540397644, 0.4516128897666931, 0.5752688050270081, 0.6290322542190552, 0.5698924660682678, 0.6881720423698425, 0.725806474685669, 0.6505376100540161, 0.6720430254936218, 0.7849462628364563]","[0.7419354915618896, 0.5806451439857483, 0.6451612710952759, 0.29032257199287415, 0.6129032373428345, 0.5806451439857483, 0.6129032373428345, 0.774193525314331, 0.7096773982048035, 0.7419354915618896]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5806451439857483, 0.48924732208251953, 0.6559139490127563, 0.698924720287323, 0.8387096524238586, 0.9086021780967712, 0.8709677457809448, 0.9354838728904724, 0.9139785170555115, 0.9569892287254333]","[0.23333333432674408, 0.5, 0.3333333432674408, 0.800000011920929, 0.7666666507720947, 0.36666667461395264, 0.7333333492279053, 0.7666666507720947, 0.699999988079071, 0.699999988079071]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.49462366104125977, 0.5, 0.6505376100540161, 0.6720430254936218, 0.6559139490127563, 0.6505376100540161, 0.7311828136444092, 0.7634408473968506, 0.801075279712677, 0.9139785170555115]","[0.23333333432674408, 0.30000001192092896, 0.23333333432674408, 0.46666666865348816, 0.36666667461395264, 0.6333333253860474, 0.800000011920929, 0.7666666507720947, 0.6000000238418579, 0.7666666507720947]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4838709533214569, 0.5215053558349609, 0.5322580933570862, 0.5483871102333069, 0.5591397881507874, 0.5913978219032288, 0.6935483813285828, 0.698924720287323, 0.7419354915618896, 0.7903226017951965]","[0.23333333432674408, 0.4000000059604645, 0.2666666805744171, 0.23333333432674408, 0.7666666507720947, 0.699999988079071, 0.3333333432674408, 0.36666667461395264, 0.5, 0.7666666507720947]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5054348111152649, 0.44565218687057495, 0.5054348111152649, 0.554347813129425, 0.5, 0.52173912525177, 0.5760869383811951, 0.5271739363670349, 0.625, 0.4728260934352875]","[0.22580644488334656, 0.774193525314331, 0.22580644488334656, 0.25806450843811035, 0.5806451439857483, 0.22580644488334656, 0.774193525314331, 0.4516128897666931, 0.774193525314331, 0.774193525314331]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.5, 0.5, 0.4838709533214569, 0.4032258093357086, 0.5, 0.5, 0.45698925852775574, 0.4354838728904724, 0.45698925852775574]","[0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.25806450843811035, 0.25806450843811035, 0.25806450843811035, 0.25806450843811035]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.5430107712745667, 0.5591397881507874, 0.5537634491920471, 0.5967742204666138, 0.46236559748649597, 0.4838709533214569, 0.5268816947937012, 0.5913978219032288, 0.4838709533214569]","[0.23333333432674408, 0.23333333432674408, 0.7666666507720947, 0.36666667461395264, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408, 0.2666666805744171, 0.23333333432674408, 0.800000011920929]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.4838709533214569, 0.6774193644523621, 0.602150559425354, 0.47311827540397644, 0.5322580933570862, 0.5215053558349609, 0.5161290168762207, 0.5967742204666138, 0.5]","[0.7666666507720947, 0.6000000238418579, 0.4333333373069763, 0.7666666507720947, 0.7666666507720947, 0.36666667461395264, 0.7666666507720947, 0.7666666507720947, 0.2666666805744171, 0.3333333432674408]"
"{'nol': 4, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4838709533214569, 0.5430107712745667, 0.6559139490127563, 0.6397849321365356, 0.6559139490127563, 0.6129032373428345, 0.6881720423698425, 0.5430107712745667, 0.5161290168762207, 0.5322580933570862]","[0.7666666507720947, 0.4333333373069763, 0.7666666507720947, 0.5333333611488342, 0.5666666626930237, 0.7666666507720947, 0.23333333432674408, 0.30000001192092896, 0.699999988079071, 0.7666666507720947]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4836956560611725, 0.532608687877655, 0.5163043737411499, 0.46195653080940247, 0.47826087474823, 0.5163043737411499, 0.5163043737411499, 0.4945652186870575, 0.45652174949645996, 0.5054348111152649]","[0.32258063554763794, 0.35483869910240173, 0.22580644488334656, 0.29032257199287415, 0.19354838132858276, 0.5161290168762207, 0.19354838132858276, 0.19354838132858276, 0.22580644488334656, 0.22580644488334656]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5161290168762207, 0.5161290168762207, 0.5215053558349609, 0.5161290168762207, 0.5215053558349609, 0.5268816947937012, 0.49462366104125977, 0.5161290168762207, 0.5107526779174805]","[0.29032257199287415, 0.29032257199287415, 0.29032257199287415, 0.29032257199287415, 0.25806450843811035, 0.29032257199287415, 0.29032257199287415, 0.25806450843811035, 0.29032257199287415, 0.35483869910240173]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5, 0.5161290168762207, 0.5860214829444885, 0.5752688050270081, 0.5376344323158264, 0.5806451439857483, 0.6397849321365356, 0.6559139490127563, 0.5645161271095276]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.699999988079071, 0.23333333432674408, 0.23333333432674408, 0.5, 0.36666667461395264, 0.23333333432674408, 0.7666666507720947]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5376344323158264, 0.5107526779174805, 0.5053763389587402, 0.5268816947937012, 0.6075268983840942, 0.602150559425354, 0.6236559152603149, 0.6182795763015747, 0.6612903475761414, 0.6559139490127563]","[0.7666666507720947, 0.30000001192092896, 0.30000001192092896, 0.2666666805744171, 0.4333333373069763, 0.8333333134651184, 0.36666667461395264, 0.7666666507720947, 0.30000001192092896, 0.7666666507720947]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.44086021184921265, 0.6290322542190552, 0.4784946143627167, 0.5537634491920471, 0.5376344323158264, 0.6075268983840942, 0.6397849321365356, 0.6236559152603149, 0.5483871102333069, 0.5645161271095276]","[0.4000000059604645, 0.23333333432674408, 0.36666667461395264, 0.23333333432674408, 0.3333333432674408, 0.7333333492279053, 0.23333333432674408, 0.23333333432674408, 0.3333333432674408, 0.4333333373069763]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.532608687877655, 0.4945652186870575, 0.44021740555763245, 0.489130437374115, 0.5978260636329651, 0.625, 0.5869565010070801, 0.6847826242446899, 0.6847826242446899, 0.7989130616188049]","[0.7419354915618896, 0.22580644488334656, 0.22580644488334656, 0.4838709533214569, 0.22580644488334656, 0.6774193644523621, 0.4838709533214569, 0.35483869910240173, 0.6129032373428345, 0.774193525314331]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5, 0.4838709533214569, 0.5322580933570862, 0.5698924660682678, 0.5752688050270081, 0.5591397881507874, 0.6129032373428345, 0.49462366104125977, 0.6881720423698425, 0.6666666865348816]","[0.29032257199287415, 0.7419354915618896, 0.7419354915618896, 0.6451612710952759, 0.774193525314331, 0.7419354915618896, 0.7419354915618896, 0.25806450843811035, 0.7096773982048035, 0.5161290168762207]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.4139784872531891, 0.4516128897666931, 0.5376344323158264, 0.5053763389587402, 0.602150559425354, 0.6666666865348816, 0.6881720423698425, 0.6505376100540161, 0.49462366104125977]","[0.7666666507720947, 0.7666666507720947, 0.7333333492279053, 0.23333333432674408, 0.5333333611488342, 0.6333333253860474, 0.2666666805744171, 0.6333333253860474, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5, 0.5107526779174805, 0.5107526779174805, 0.6666666865348816, 0.7688171863555908, 0.7849462628364563, 0.8279569745063782, 0.7526881694793701, 0.8387096524238586, 0.8870967626571655]","[0.23333333432674408, 0.30000001192092896, 0.5, 0.3333333432674408, 0.6000000238418579, 0.36666667461395264, 0.5666666626930237, 0.6666666865348816, 0.30000001192092896, 0.5333333611488342]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.42473119497299194, 0.5053763389587402, 0.46236559748649597, 0.5645161271095276, 0.6397849321365356, 0.6935483813285828, 0.7043010592460632, 0.7473118305206299, 0.7096773982048035]","[0.23333333432674408, 0.23333333432674408, 0.7666666507720947, 0.36666667461395264, 0.3333333432674408, 0.3333333432674408, 0.4333333373069763, 0.7666666507720947, 0.3333333432674408, 0.6000000238418579]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.532608687877655, 0.4945652186870575, 0.6630434989929199, 0.6630434989929199, 0.5380434989929199, 0.5760869383811951, 0.5489130616188049, 0.5271739363670349, 0.52173912525177, 0.554347813129425]","[0.22580644488334656, 0.8064516186714172, 0.8064516186714172, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.6451612710952759, 0.774193525314331]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5967742204666138, 0.6505376100540161, 0.5645161271095276, 0.5645161271095276, 0.6451612710952759, 0.5053763389587402, 0.602150559425354, 0.5483871102333069, 0.5107526779174805]","[0.7419354915618896, 0.7419354915618896, 0.29032257199287415, 0.5806451439857483, 0.6451612710952759, 0.4838709533214569, 0.6129032373428345, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5430107712745667, 0.45698925852775574, 0.5537634491920471, 0.5967742204666138, 0.5430107712745667, 0.5322580933570862, 0.6075268983840942, 0.5967742204666138, 0.5752688050270081, 0.5107526779174805]","[0.7666666507720947, 0.23333333432674408, 0.46666666865348816, 0.3333333432674408, 0.5333333611488342, 0.4000000059604645, 0.23333333432674408, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.47311827540397644, 0.5483871102333069, 0.45698925852775574, 0.602150559425354, 0.5, 0.49462366104125977, 0.5053763389587402, 0.5161290168762207, 0.5537634491920471, 0.4838709533214569]","[0.2666666805744171, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.23333333432674408]"
"{'nol': 4, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.5107526779174805, 0.5376344323158264, 0.48924732208251953, 0.5483871102333069, 0.5161290168762207, 0.5806451439857483, 0.48924732208251953, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408, 0.23333333432674408]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5380434989929199, 0.47826087474823, 0.52173912525177, 0.532608687877655, 0.54347825050354, 0.592391312122345, 0.6086956262588501, 0.6195651888847351, 0.60326087474823, 0.635869562625885]","[0.22580644488334656, 0.22580644488334656, 0.29032257199287415, 0.25806450843811035, 0.7096773982048035, 0.25806450843811035, 0.3870967626571655, 0.22580644488334656, 0.4838709533214569, 0.7096773982048035]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5591397881507874, 0.5430107712745667, 0.49462366104125977, 0.5376344323158264, 0.5268816947937012, 0.5645161271095276, 0.602150559425354, 0.5860214829444885, 0.5752688050270081, 0.5268816947937012]","[0.25806450843811035, 0.4193548262119293, 0.774193525314331, 0.8064516186714172, 0.6774193644523621, 0.5161290168762207, 0.5161290168762207, 0.5161290168762207, 0.25806450843811035, 0.774193525314331]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5752688050270081, 0.4354838728904724, 0.5268816947937012, 0.5752688050270081, 0.5913978219032288, 0.5913978219032288, 0.5698924660682678, 0.5860214829444885, 0.5752688050270081, 0.6720430254936218]","[0.7666666507720947, 0.2666666805744171, 0.6000000238418579, 0.7333333492279053, 0.800000011920929, 0.36666667461395264, 0.7666666507720947, 0.23333333432674408, 0.5333333611488342, 0.7333333492279053]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5161290168762207, 0.5107526779174805, 0.5860214829444885, 0.5806451439857483, 0.5322580933570862, 0.5860214829444885, 0.6075268983840942, 0.5376344323158264, 0.5483871102333069, 0.6236559152603149]","[0.5666666626930237, 0.4333333373069763, 0.7666666507720947, 0.6000000238418579, 0.5666666626930237, 0.699999988079071, 0.23333333432674408, 0.36666667461395264, 0.7666666507720947, 0.5666666626930237]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.45698925852775574, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4462365508079529]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.489130437374115, 0.5, 0.5, 0.5, 0.5, 0.5, 0.47826087474823, 0.45652174949645996, 0.44565218687057495, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.22580644488334656, 0.774193525314331, 0.774193525314331]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5, 0.49462366104125977, 0.4838709533214569, 0.6344085931777954, 0.6397849321365356, 0.6290322542190552, 0.6827957034111023, 0.7526881694793701, 0.7096773982048035]","[0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.4193548262119293, 0.6451612710952759, 0.7096773982048035, 0.6774193644523621, 0.7419354915618896, 0.3870967626571655, 0.4838709533214569]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.5376344323158264, 0.6075268983840942, 0.5268816947937012, 0.6666666865348816, 0.7204301357269287, 0.7580645084381104, 0.725806474685669, 0.8387096524238586, 0.8387096524238586]","[0.23333333432674408, 0.800000011920929, 0.2666666805744171, 0.2666666805744171, 0.5666666626930237, 0.6666666865348816, 0.7333333492279053, 0.6666666865348816, 0.7333333492279053, 0.699999988079071]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5591397881507874, 0.5698924660682678, 0.5752688050270081, 0.5107526779174805, 0.6935483813285828, 0.698924720287323, 0.8709677457809448, 0.9301075339317322, 0.9247311949729919, 0.9462365508079529]","[0.23333333432674408, 0.6000000238418579, 0.2666666805744171, 0.36666667461395264, 0.4333333373069763, 0.46666666865348816, 0.6000000238418579, 0.7333333492279053, 0.7333333492279053, 0.36666667461395264]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4139784872531891, 0.5161290168762207, 0.5537634491920471, 0.6666666865348816, 0.6397849321365356, 0.7795698642730713, 0.7419354915618896, 0.8118279576301575, 0.8387096524238586, 0.8924731016159058]","[0.23333333432674408, 0.23333333432674408, 0.3333333432674408, 0.36666667461395264, 0.7333333492279053, 0.7666666507720947, 0.7666666507720947, 0.699999988079071, 0.5333333611488342, 0.5666666626930237]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.510869562625885, 0.46195653080940247, 0.5652173757553101, 0.6847826242446899, 0.72826087474823, 0.614130437374115, 0.657608687877655, 0.489130437374115, 0.5597826242446899, 0.489130437374115]","[0.774193525314331, 0.4838709533214569, 0.35483869910240173, 0.7419354915618896, 0.35483869910240173, 0.4838709533214569, 0.22580644488334656, 0.774193525314331, 0.29032257199287415, 0.774193525314331]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5376344323158264, 0.4354838728904724, 0.48924732208251953, 0.5806451439857483, 0.5215053558349609, 0.5698924660682678, 0.5053763389587402, 0.5268816947937012, 0.5913978219032288]","[0.25806450843811035, 0.25806450843811035, 0.25806450843811035, 0.7096773982048035, 0.7419354915618896, 0.25806450843811035, 0.25806450843811035, 0.5161290168762207, 0.25806450843811035, 0.25806450843811035]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.49462366104125977, 0.5698924660682678, 0.5860214829444885, 0.5860214829444885, 0.5107526779174805, 0.5537634491920471, 0.5913978219032288, 0.5913978219032288, 0.5537634491920471]","[0.2666666805744171, 0.23333333432674408, 0.46666666865348816, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.7666666507720947, 0.699999988079071, 0.23333333432674408, 0.800000011920929]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5, 0.47311827540397644, 0.6129032373428345, 0.5376344323158264, 0.6451612710952759, 0.5860214829444885, 0.5698924660682678, 0.5591397881507874, 0.5268816947937012, 0.5645161271095276]","[0.7666666507720947, 0.7333333492279053, 0.7666666507720947, 0.4333333373069763, 0.4000000059604645, 0.2666666805744171, 0.699999988079071, 0.7666666507720947, 0.699999988079071, 0.30000001192092896]"
"{'nol': 5, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5107526779174805, 0.5698924660682678, 0.5913978219032288, 0.5591397881507874, 0.5591397881507874, 0.5483871102333069, 0.5591397881507874, 0.602150559425354, 0.6881720423698425]","[0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.5, 0.7333333492279053, 0.23333333432674408]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.47826087474823, 0.4945652186870575, 0.5, 0.510869562625885, 0.4945652186870575, 0.4945652186870575, 0.4836956560611725, 0.489130437374115, 0.4945652186870575, 0.5]","[0.25806450843811035, 0.35483869910240173, 0.35483869910240173, 0.3870967626571655, 0.29032257199287415, 0.25806450843811035, 0.29032257199287415, 0.29032257199287415, 0.32258063554763794, 0.22580644488334656]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.6397849321365356, 0.6182795763015747, 0.6129032373428345, 0.5752688050270081, 0.5806451439857483, 0.5, 0.5, 0.5, 0.5]","[0.5161290168762207, 0.25806450843811035, 0.4516128897666931, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.46236559748649597, 0.5322580933570862, 0.4462365508079529, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5161290168762207, 0.5053763389587402]","[0.800000011920929, 0.2666666805744171, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.4838709533214569, 0.48924732208251953, 0.5161290168762207, 0.5376344323158264, 0.4784946143627167, 0.49462366104125977, 0.5322580933570862, 0.48924732208251953, 0.5268816947937012]","[0.23333333432674408, 0.2666666805744171, 0.2666666805744171, 0.2666666805744171, 0.30000001192092896, 0.3333333432674408, 0.30000001192092896, 0.3333333432674408, 0.46666666865348816, 0.46666666865348816]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5537634491920471, 0.6344085931777954, 0.6236559152603149, 0.5161290168762207, 0.6236559152603149, 0.5752688050270081, 0.5376344323158264, 0.5698924660682678, 0.5591397881507874, 0.5860214829444885]","[0.6000000238418579, 0.6000000238418579, 0.23333333432674408, 0.46666666865348816, 0.6333333253860474, 0.23333333432674408, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5, 0.54347825050354, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.25806450843811035, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5537634491920471, 0.5215053558349609, 0.4784946143627167, 0.6720430254936218, 0.6612903475761414, 0.6182795763015747, 0.5591397881507874, 0.5698924660682678, 0.5483871102333069, 0.6129032373428345]","[0.25806450843811035, 0.25806450843811035, 0.7419354915618896, 0.4516128897666931, 0.5161290168762207, 0.25806450843811035, 0.3870967626571655, 0.4516128897666931, 0.6129032373428345, 0.6451612710952759]"
"{'nol': 5, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.5161290168762207, 0.4301075339317322, 0.5752688050270081, 0.5483871102333069, 0.5215053558349609, 0.6236559152603149, 0.6129032373428345, 0.6451612710952759, 0.6344085931777954]","[0.800000011920929, 0.23333333432674408, 0.7666666507720947, 0.2666666805744171, 0.7666666507720947, 0.46666666865348816, 0.5333333611488342, 0.7666666507720947, 0.7666666507720947, 0.5]"
